ORIGIN_AIRPORT,DESTINATION_AIRPORT,num_voli,mean_scheduled_time
BDL,DTW,1355,117.65830258302583
BDL,EWR,463,66.37365010799137
BDL,FLL,933,192.18220793140406
BDL,IAD,163,87.43558282208589
BDL,LAS,267,339.2696629213483
BDL,MCO,1650,177.3309090909091
BDL,MDW,862,150.28422273781902
BDL,MIA,372,195.51075268817203
BDL,MSP,845,178.6094674556213
BDL,ORD,1451,159.03376981392142
BDL,PBI,337,179.88427299703264
BDL,RDU,177,107.62711864406779
BDL,RSW,389,200.62210796915167
BDL,SJU,453,229.7086092715232
BDL,TPA,949,184.82929399367757
BET,ANC,886,66.43453724604966
BFL,DEN,606,147.33168316831683
BFL,IAH,481,205.16008316008316
BFL,PHX,870,92.72528735632184
BFL,SFO,647,77.82843894899537
